booking_id,hotel_id,hotel_name,country,city,customer_id,customer_name,customer_email,channel,room_type,meal_plan,booking_date,checkin_date,checkout_date,nights,adults,children,revenue,status,is_cancelled
B100018,16,Mediterraneum Madrid Salamanca,Spain,Madrid,18509,Antonio Garcia,antonio.garcia18509@example.com,booking.com,Standard,Half Board,2023-05-06,2023-05-29,01/06/2023,3,3,1,466.71,Cancelled,True
B100019,11,Mediterraneum Tenerife Sur,Spain,Playa de las Americas,14514,Francesco Rossi,francesco.rossi14514@example.com,corporate,Standard,All Inclusive,03/10/2025,2-12-25,2025-12-05,3,1,0,490.17,Cancelled,True
B100020,38,Mediterraneum Creta Chania,Greece,Chania,13757,Lucia Martinez,lucia.martinez13757@example.com,Corporate,Suite,Breakfast,9-3-24,2024-10-31,3-11-24,3,3,0,1157.29,Confirmed,False
B100021,7,Mediterraneum Nerja Cliffs,Spain,Nerja,17961,Luca Papadopoulos,luca.papadopoulos17961@example.com,booking.com,Standard,Breakfast,2023-12-12,2023-12-21,25/12/2023,4,2,1,331.41,Confirmed,False
B100022,18,Mediterraneum Barcelona Diagonal,Spain,Barcelona,23729,  Antonio Dimitriou ,antonio.dimitriou23729@example.com,Direct,Standard,Breakfast,2023-09-02,11-9-23,16/09/2023,5,2,1,753.75,Cancelled,True
B100023,9,Mediterraneum Cadaques Art,Spain,Cadaques,14270,Dimitris Lopez,dimitris.lopez14270@example.com,Direct,Standard,Breakfast,11/06/2023,02/07/2023,07/07/2023,5,1,0,1295.36,Confirmed,False
B100024,23,Mediterraneum Positano Cliff,Italy,Positano,10106,Elena Romero,elena.romero10106@example.com,Direct,Standard,Breakfast,05/06/2024,29/06/2024,06/07/2024,7,2,0,1633.28,Cancelled,True
B100025,8,Mediterraneum Roses Bay,Spain,Roses,11525,Pablo Dimitriou,pablo.dimitriou11525@example.com,Corporate,Standard,Half Board,12/07/2025,2025-09-21,2025-09-23,2,4,-1,360.39,Confirmed,False
B100026,1,Mediterraneum Palma Bay,Spain,Palma,16504,Sofia Rossi,sofia.rossi16504@example.com,booking.com,Suite,Breakfast,2025-03-16,2025-04-07,09/04/2025,2,2,1,602.67,Cancelled,False
B100027,29,Mediterraneum Cagliari Bay,Italy,Cagliari,13488,Lucia Lopez,lucia.lopez13488@example.com,Booking,Standard,Half Board,16/09/2024,22/09/2024,25/09/2024,4,2,2,779.97,Confirmed,False
B100028,37,Mediterraneum Creta Heraklion,Greece,Heraklion,17549,Isabella Romero,isabella.romero17549@example.com,Agency,Superior,Half Board,07/07/2024,1-11-24,04/11/2024,16,2,1,468.8,Confirmed,False
B100029,1,Mediterraneum Palma Bay,Spain,Palma,19215,Paula Russo,paula.russo19215@example.com,Direct,Family,Room Only,2025-09-11,29/10/2025,01/11/2025,3,4,1,722.98,Confirmed,False
B100030,12,Mediterraneum Gran Canaria,Spain,Maspalomas,20916,Lucia Romero,lucia.romero20916@example.com,Direct,Superior,Breakfast,2025-09-05,2025-09-30,04/10/2025,4,2,0,676.9,Confirmed,False
B100031,33,Mediterraneum Firenze Arno,Italy,Firenze,17382,Francesco Ferrari,francesco.ferrari17382@example.com,Direct,Standard,Room Only,19/06/2024,22/06/2024,29/06/2024,7,3,0,1356.24,Confirmed,False
B100032,38,Mediterraneum Creta Chania,Greece,Chania,11918,Francesco Papadopoulos,francesco.papadopoulos11918@example.com,Booking,Standard,Breakfast,17-7-25,16/08/2025,23/08/2025,7,2,2,1631.59,Confirmed,False
B100033,11,Mediterraneum Tenerife Sur,Spain,Playa de las Americas,24042,Carlos Rossi,carlos.rossi24042@example.com,Booking,FAMILY,Half Board,08/09/2025,2025-10-07,2025-10-09,2,4,0,611.51,Confirmed,False
B100034,19,Mediterraneum Valencia Ciutat,Spain,Valencia,21073,Lucia Bianchi,lucia.bianchi21073@example.com,Booking,Suite,Breakfast,31/08/2024,2024-09-16,2024-09-18,2,2,0,787.04,Confirmed,False
B100035,23,Mediterraneum Positano Cliff,Italy,Positano,24955,Isabella Garcia,isabella.garcia24955@example.com,agency,Standard,All Inclusive,9-2-24,05/03/2024,07/03/2024,2,3,1,414.66,Confirmed,False
B100036,1,Mediterraneum Palma Bay,Spain,Palma,24700,Dimitris Romero,dimitris.romero24700@example.com,direct,Family,Half Board,07/09/2023,2023-09-27,2023-10-02,5,1,0,1650.41,Confirmed,False
B100037,34,Mediterraneum Milano Duomo,Italy,Milano,22741,Eleni Bianchi,eleni.bianchi22741@example.com,Corporate,Suite,Half Board,2023-10-25,2023-11-07,2023-11-10,3,3,0,846.85,Cancelled,True
B100038,19,Mediterraneum Valencia Ciutat,Spain,Valencia,17639,Jose Garcia,jose.garcia17639@example.com,direct,superior,Breakfast,2025-02-09,2025-03-07,2025-03-11,4,2,1,680.46,Confirmed,False
B100039,5,Mediterraneum Marbella Grand,Spain,Marbella,10635,Isabella Bianchi,isabella.bianchi10635@example.com,direct,Standard,Breakfast,2023-01-05,26/01/2023,2023-01-29,3,4,0,331.17,Confirmed,False
B100040,30,Mediterraneum Roma Trastevere,Italy,Roma,23705,Sofia Rossi,sofia.rossi23705@example.com,booking.com,Superior,Half Board,31/05/2023,2023-08-19,2023-08-26,7,4,0,3019.13,Confirmed,False
B100041,7,Mediterraneum Nerja Cliffs,Spain,Nerja,12011,Pablo Lopez,pablo.lopez12011@example.com,Booking,Superior,Half Board,2025-10-03,2025-10-31,02/11/2025,2,2,0,328.56,Confirmed,False
B100042,25,Mediterraneum Ravello View,Italy,Ravello,13694,Lucia Ferrari,lucia.ferrari13694@example.com,Booking,Superior,,2023-02-07,25/02/2023,2023-02-27,7,3,1,374.14,Confirmed,False
B100043,3,Mediterraneum Menorca Cove,Spain,Mahon,16471,Marco Lopez,marco.lopez16471@example.com,booking.com,superior,All Inclusive,2023-07-23,2023-08-16,23/08/2023,7,4,0,2553.49,Confirmed,False
B100044,20,Mediterraneum Sevilla Giralda,Spain,Sevilla,16550,Dimitris Sanchez,dimitris.sanchez16550@example.com,Direct,Standard,Breakfast,2025-05-15,2025-06-28,2025-07-03,5,2,0,667.1,Cancelled,True
B100045,40,Mediterraneum Atenas Acropolis,Greece,Atenas,15583,Carlos Sanchez,carlos.sanchez15583@example.com,Direct,Standard,All Inclusive,05/03/2024,28/04/2024,01/05/2024,3,4,1,587.7,Confirmed,False
B100046,26,Mediterraneum Taormina,Italy,Taormina,13007,Dimitris Russo,dimitris.russo13007@example.com,DIRECT,Superior,Breakfast,2024-02-06,03/03/2024,2024-03-04,1,2,1,218.77,Confirmed,False
B100047,35,Mediterraneum Santorini Caldera,Greece,Santorini,12123,Antonio Garcia,antonio.garcia12123@example.com,Direct,Suite,Breakfast,2024-11-04,29-1-25,2025-01-31,2,2,0,455.06,Confirmed,False
B100048,37,Mediterraneum Creta Heraklion,Greece,Heraklion,16102,Eleni Russo,eleni.russo16102@example.com,booking.com,STANDARD,Room Only,29-8-23,2023-10-11,13/10/2023,2,2,1,288.32,Confirmed,False
B100049,22,Mediterraneum San Sebastian,Spain,San Sebastian,10871,Nikos Dimitriou,nikos.dimitriou10871@example.com,Booking,Suite,Breakfast,26/09/2024,05/10/2024,07/10/2024,2,3,2,575.92,Confirmed,False
B100050,30,Mediterraneum Roma Trastevere,Italy,Roma,14747,Laura Lopez,laura.lopez14747@example.com,booking.com,Standard,Breakfast,29-5-25,06/06/2025,2025-06-10,4,4,1,810.06,Confirmed,False
B100051,7,Mediterraneum Nerja Cliffs,Spain,Nerja,23911,Isabella Martinez,isabella.martinez23911@example.com,booking.com,Standard,Breakfast,2024-09-20,2024-10-30,1-11-24,2,3,1,222.86,Confirmed,False
B100052,23,Mediterraneum Positano Cliff,Italy,Positano,24422,  Eleni Martinez ,eleni.martinez24422@example.com,corporate,Suite,All Inclusive,2025-02-26,01/04/2025,2025-04-04,3,2,1,1128.47,Confirmed,False
B100053,19,Mediterraneum Valencia Ciutat,Spain,Valencia,24768,Isabella Martinez,isabella.martinez24768@example.com,expedia,Standard,Room Only,21/04/2023,2023-05-21,2023-05-24,3,1,1,337.51,Confirmed,False
B100054,30,Mediterraneum Roma Trastevere,Italy,Roma,24297,Maria Ferrari,maria.ferrari24297@example.com,Direct,Superior,Half Board,2025-10-08,16-11-25,19-11-25,3,4,1,641.75,Confirmed,False
B100055,30,Mediterraneum Roma Trastevere,Italy,Roma,20129,Andreas Garcia,andreas.garcia20129@example.com,Corporate,superior,Half Board,21-8-25,2025-08-27,06/09/2025,10,1,0,5145.09,Confirmed,False
B100056,14,Mediterraneum Fuerteventura,Spain,Corralejo,23538,Giulia Sanchez,giulia.sanchez23538@example.com,Booking,Family,Half Board,2024-06-16,30/06/2024,2-7-24,2,2,2,716.46,Confirmed,False
B100057,32,Mediterraneum Venezia Grand,Italy,Venezia,15954,Lucia Ferrari,lucia.ferrari15954@example.com,direct,Standard,Breakfast,2024-04-09,2024-04-27,2024-05-01,4,3,1,872.43,Confirmed,False
B100058,27,Mediterraneum Palermo Centro,Italy,Palermo,11236,Jose Ferrari,jose.ferrari11236@example.com,Expedia,Superior,Breakfast,22/05/2023,2023-07-03,17/07/2023,14,4,0,5732.43,Confirmed,False
B100059,14,Mediterraneum Fuerteventura,Spain,Corralejo,10265,Elena Papadopoulos,elena.papadopoulos10265@example.com,Booking,Standard,All Inclusive,27-7-24,2024-08-07,2024-08-14,7,3,0,1919.76,Confirmed,False
B100060,5,Mediterraneum Marbella Grand,Spain,Marbella,15205,Isabella Garcia,isabella.garcia15205@example.com,expedia,Superior,Half Board,03/12/2023,09/01/2024,11-1-24,2,2,0,354.3,Cancelled,True
B100061,24,Mediterraneum Amalfi Duomo,Italy,Amalfi,18422,Sofia Papadopoulos,,Booking,STANDARD,All Inclusive,04/03/2023,07/04/2023,2023-04-10,3,3,1,648.53,Confirmed,False
B100062,28,Mediterraneum Costa Smeralda,Italy,Porto Cervo,10768,Marco Bianchi,marco.bianchi10768@example.com,corporate,Stndard,Breakfast,04/08/2024,2024-11-06,2024-11-09,3,1,2,364.82,Cancelled,True
B100063,40,Mediterraneum Atenas Acropolis,Greece,Atenas,16826,Sofia Ferrari,sofia.ferrari16826@example.com,Direct,Standard,Breakfast,2025-10-15,2025-11-04,06/11/2025,2,1,1,213.78,Confirmed,False
B100064,25,Mediterraneum Ravello View,Italy,Ravello,17008,Dimitris Bianchi,dimitris.bianchi17008@example.com,Corporate,Standard,Breakfast,2024-03-06,30/03/2024,2024-03-31,1,2,0,146.11,Confirmed,False
B100065,30,Mediterraneum Roma Trastevere,Italy,Roma,14837,Laura Rossi,laura.rossi14837@example.com,Expedia,Standard,Breakfast,2023-08-25,2023-08-28,2023-09-04,7,4,0,1836.06,Confirmed,False
B100066,23,Mediterraneum Positano Cliff,Italy,Positano,13460,Ana Sanchez,ana.sanchez13460@example.com,Direct,Standard,Room Only,18/02/2023,10/03/2023,2023-03-14,4,2,1,537.7,Confirmed,False
B100067,6,Mediterraneum Malaga Port,Spain,Malaga,10071,Antonio Romero,antonio.romero10071@example.com,direct,Suite,All Inclusive,2024-05-25,2024-07-20,2024-07-27,7,2,2,3484.31,Confirmed,False
B100068,39,Mediterraneum Rhodes Old Town,Greece,Rhodes,21038,Nikos Ferrari,nikos.ferrari21038@example.com,Agency,Superior,Breakfast,2024-01-09,2024-01-19,21/01/2024,2,2,0,348.76,Cancelled,True
B100069,34,Mediterraneum Milano Duomo,Italy,Milano,12482,Jose Papadopoulos,jose.papadopoulos12482@example.com,expedia,Standard,All Inclusive,26/12/2024,2-1-25,2025-01-05,3,2,0,583.87,Confirmed,False
B100070,12,Mediterraneum Gran Canaria,Spain,Maspalomas,12481,Pablo Papadopoulos,pablo.papadopoulos12481@example.com,Direct,FAMILY,Breakfast,2024-06-08,2024-06-15,2024-06-17,2,2,2,563.37,Confirmed,False
B100071,6,Mediterraneum Malaga Port,Spain,Malaga,10757,Pablo Dimitriou,pablo.dimitriou10757@example.com,Expedia,Suite,Room Only,16/01/2025,2025-01-23,2025-01-25,2,2,0,464.96,Confirmed,False
B100072,2,Mediterraneum Ibiza Sunset,Spain,Ibiza,10527,Lucia Ferrari,lucia.ferrari10527@example.com,expedia,Superior,Half Board,2024-07-26,28-8-24,2024-09-04,7,4,0,2423.37,Cancelled,True
B100073,24,Mediterraneum Amalfi Duomo,Italy,Amalfi,16119,Paula Nikolaou,paula.nikolaou16119@example.com,Booking,Superior,Room Only,2024-03-18,2024-03-31,2024-04-04,4,4,0,787.94,Confirmed,False
B100074,35,Mediterraneum Santorini Caldera,Greece,Santorini,16665,Carlos Russo,carlos.russo16665@example.com,Corporate,Standard,Breakfast,2023-08-08,2023-08-11,2023-08-18,7,3,1,1957.8,Confirmed,False
B100075,30,Mediterraneum Roma Trastevere,Italy,Roma,22983,Pablo Ferrari,pablo.ferrari22983@example.com,DIRECT,superior,Room Only,2024-12-24,03/01/2025,2025-01-04,1,4,0,203.35,Confirmed,False
B100076,36,Mediterraneum Mykonos Beach,Greece,Mykonos,21533,Carlos Lopez,carlos.lopez21533@example.com,Booking,Superior,All Inclusive,2023-11-26,25/11/2024,2024-11-28,3,2,0,653.43,Confirmed,False
B100077,26,Mediterraneum Taormina,Italy,Taormina,20268,Sofia Bianchi,sofia.bianchi20268@example.com,Booking,Standard,Half Board,2023-11-15,19/11/2023,23/11/2023,4,4,0,681.83,NoShow,False
B100078,24,Mediterraneum Amalfi Duomo,Italy,Amalfi,14690,Lucia Lopez,lucia.lopez14690@example.com,booking.com,Family,Half Board,29/04/2024,22/05/2024,23/05/2024,1,2,0,306.55,Confirmed,False
B100079,40,Mediterraneum Atenas Acropolis,Greece,Atenas,23524,Francesco Dimitriou,francesco.dimitriou23524@example.com,corporate,Standard,,9-3-25,5-5-25,9-5-25,4,2,0,391.89,Confirmed,False
B100080,35,Mediterraneum Santorini Caldera,Greece,Santorini,11664,Lucia Garcia,lucia.garcia11664@example.com,direct,Suite,Breakfast,14-7-24,2024-07-30,06/08/2024,7,3,0,3395.2,Confirmed,False
B100081,40,Mediterraneum Atenas Acropolis,Greece,Atenas,13102,Laura Papadopoulos,laura.papadopoulos13102@example.com,Corporate,Standard,Breakfast,2023-02-14,28/02/2023,2023-03-01,1,3,0,125.72,Confirmed,False
B100082,5,Mediterraneum Marbella Grand,Spain,Marbella,10046,Lucia Lopez,lucia.lopez10046@example.com,Booking,Superior,Breakfast,4-1-25,14-3-25,18/03/2025,4,2,0,505.32,Confirmed,False
B100083,15,Mediterraneum Madrid Centro,Spain,Madrid,17359,Elena Bianchi,elena.bianchi17359@example.com,Booking,Standard,,2023-10-19,09/11/2023,11/11/2023,2,4,0,215.58,Cancelled,True
B100084,28,Mediterraneum Costa Smeralda,Italy,Porto Cervo,19906,Laura Nikolaou,laura.nikolaou19906@example.com,Direct,Family,Breakfast,2023-08-03,25/08/2023,2023-08-28,3,2,0,1566.36,Confirmed,False
B100085,33,Mediterraneum Firenze Arno,Italy,Firenze,22274,Jose Russo,jose.russo22274@example.com,direct,Family,Breakfast,2023-05-28,2023-05-28,30/05/2023,2,1,0,540.66,Confirmed,False
B100086,12,Mediterraneum Gran Canaria,Spain,Maspalomas,21968,Carlos Martinez,carlos.martinez21968@example.com,Booking,Superior,Room Only,2025-03-31,2025-07-14,28/07/2025,14,4,0,3856.54,Confirmed,False
B100087,3,Mediterraneum Menorca Cove,Spain,Mahon,19484,Luca Ferrari,luca.ferrari19484@example.com,Booking,superior,Breakfast,2025-03-25,23/04/2025,2025-04-27,4,3,0,770.98,Confirmed,False
B100088,10,Mediterraneum Tossa,Spain,Tossa de Mar,12584,Nikos Ferrari,nikos.ferrari12584@example.com,Direct,Standard,All Inclusive,03/07/2023,19/08/2023,2023-08-29,10,3,2,2756.14,Confirmed,False
B100089,20,Mediterraneum Sevilla Giralda,Spain,Sevilla,15495,Eleni Ferrari,eleni.ferrari15495@example.com,booking.com,Superior,Breakfast,08/01/2025,29-3-25,2025-03-31,2,4,0,279.99,Confirmed,True
B100090,10,Mediterraneum Tossa,Spain,Tossa de Mar,24095,Isabella Russo,isabella.russo24095@example.com,Expedia,Superior,Half Board,2024-03-31,2024-04-24,2024-04-25,1,1,0,238.13,Confirmed,False
B100091,25,Mediterraneum Ravello View,Italy,Ravello,20017,Lucia Romero,lucia.romero20017@example.com,direct,Standard,Half Board,2025-08-02,2025-08-27,03/09/2025,7,4,0,2428.17,Confirmed,False
B100092,14,Mediterraneum Fuerteventura,Spain,Corralejo,24436,Pablo Ferrari,pablo.ferrari24436@example.com,Booking,Family,Breakfast,22/09/2024,2024-10-17,2024-10-20,3,3,0,615.38,Confirmed,False
B100093,10,Mediterraneum Tossa,Spain,Tossa de Mar,24039,Nikos Nikolaou,nikos.nikolaou24039@example.com,booking.com,STANDARD,Half Board,02/07/2023,16-8-23,2023-08-23,7,2,0,1643.64,Confirmed,False
B100094,13,Mediterraneum Lanzarote,Spain,Playa Blanca,16926,Ana Ferrari,ana.ferrari16926@example.com,Agency,STANDARD,Breakfast,08/10/2025,2025-10-16,2025-10-19,3,2,1,424.98,Confirmed,False
B100095,18,Mediterraneum Barcelona Diagonal,Spain,Barcelona,13282,  Pablo Rossi ,pablo.rossi13282@example.com,direct,Standard,Breakfast,2023-10-24,09/11/2023,13/11/2023,4,3,1,416.1,Confirmed,False
B100096,25,Mediterraneum Ravello View,Italy,Ravello,18828,Lucia Papadopoulos,,direct,Standard,Half Board,2024-02-08,13/02/2024,2024-02-14,1,4,2,159.53,Cancelled,True
B100097,21,Mediterraneum Bilbao Ria,Spain,Bilbao,23272,Maria Romero,maria.romero23272@example.com,agency,Standard,Breakfast,2024-05-07,2024-05-23,24-5-24,1,2,0,147.88,Confirmed,False
B100098,6,Mediterraneum Malaga Port,Spain,Malaga,21446,Elena Lopez,elena.lopez21446@example.com,expedia,Family,Breakfast,30/10/2025,2025-11-22,2025-11-23,1,2,0,180.06,Confirmed,False
B100099,34,Mediterraneum Milano Duomo,Italy,Milano,22481,Antonio Rossi,antonio.rossi22481@example.com,Booking,superior,Half Board,2024-12-05,16/12/2024,18/12/2024,2,2,2,410.97,Confirmed,False
B100100,14,Mediterraneum Fuerteventura,Spain,Corralejo,15133,  Laura Garcia ,laura.garcia15133@example.com,Direct,Standard,Breakfast,8-6-23,11/07/2023,2023-07-14,3,3,0,670.53,Confirmed,False
B100101,3,Mediterraneum Menorca Cove,Spain,Mahon,22912,Luca Russo,luca.russo22912@example.com,Agency,Standard,Breakfast,9-3-23,19-3-23,2023-03-21,2,3,0,210.94,Confirmed,False
B100102,40,Mediterraneum Atenas Acropolis,Greece,Atenas,10916,Elena Sanchez,elena.sanchez10916@example.com,DIRECT,Suite,Room Only,2024-04-25,2024-04-28,2024-04-30,2,1,0,722.75,Confirmed,False
B100103,10,Mediterraneum Tossa,Spain,Tossa de Mar,12058,Antonio Lopez,antonio.lopez12058@example.com,Booking,Family,All Inclusive,1-6-25,15/06/2025,19/06/2025,4,4,0,1149.81,Confirmed,False
B100104,7,Mediterraneum Nerja Cliffs,Spain,Nerja,14325,Andreas Lopez,andreas.lopez14325@example.com,agency,Superior,Room Only,29/01/2025,2025-02-08,2025-02-11,3,1,1,291.45,Confirmed,False
B100105,28,Mediterraneum Costa Smeralda,Italy,Porto Cervo,22399,Maria Papadopoulos,maria.papadopoulos22399@example.com,Booking,Superior,Breakfast,18/04/2023,2023-04-30,02/05/2023,18,2,1,514.3,Cancelled,True
B100106,12,Mediterraneum Gran Canaria,Spain,Maspalomas,16958,Laura Lopez,laura.lopez16958@example.com,Corporate,STANDARD,,2025-07-13,2025-08-16,2025-08-21,5,4,0,1423.02,Confirmed,False
B100107,5,Mediterraneum Marbella Grand,Spain,Marbella,13211,Luca Ferrari,luca.ferrari13211@example.com,Booking,Standard,Room Only,28-1-23,2023-02-06,08/02/2023,2,4,0,164.61,Cancelled,True
B100108,32,Mediterraneum Venezia Grand,Italy,Venezia,12987,Isabella Romero,isabella.romero12987@example.com,Corporate,Family,Room Only,1-10-23,2023-11-24,2023-11-26,2,2,0,297.85,Cancelled,False
B100109,11,Mediterraneum Tenerife Sur,Spain,Playa de las Americas,22297,Dimitris Romero,dimitris.romero22297@example.com,Direct,Standard,Breakfast,17/04/2023,22-5-23,26/05/2023,4,4,0,576.69,Cancelled,True
B100110,21,Mediterraneum Bilbao Ria,Spain,Bilbao,18661,Elena Sanchez,elena.sanchez18661@example.com,booking.com,Standard,Breakfast,30/05/2024,2024-06-25,28/06/2024,3,2,0,591.61,Confirmed,False
B100111,34,Mediterraneum Milano Duomo,Italy,Milano,16472,Elena Bianchi,,Corporate,Standard,Breakfast,2024-03-30,25/04/2024,2024-04-29,4,2,0,633.06,Confirmed,False
B100112,27,Mediterraneum Palermo Centro,Italy,Palermo,17986,Giulia Bianchi,giulia.bianchi17986@example.com,Direct,Standard,Half Board,2023-11-28,2024-01-16,2024-01-18,2,2,0,293.37,Confirmed,False
B100113,13,Mediterraneum Lanzarote,Spain,Playa Blanca,23912,Antonio Sanchez,antonio.sanchez23912@example.com,Direct,Family,Breakfast,2025-09-30,2025-11-13,2025-11-16,3,4,0,505.41,Cancelled,True
B100114,8,Mediterraneum Roses Bay,Spain,Roses,24825,Elena Nikolaou,elena.nikolaou24825@example.com,agency,STANDARD,Breakfast,2024-08-04,2024-08-24,31/08/2024,7,1,1,1359.63,Confirmed,False
B100115,13,Mediterraneum Lanzarote,Spain,Playa Blanca,14055,Paula Nikolaou,paula.nikolaou14055@example.com,booking.com,Superior,All Inclusive,2023-03-02,18/03/2023,21-3-23,3,4,2,506.33,Confirmed,False
B100116,12,Mediterraneum Gran Canaria,Spain,Maspalomas,11931,Carlos Nikolaou,carlos.nikolaou11931@example.com,booking.com,Superior,All Inclusive,2024-01-23,2024-01-25,28/01/2024,3,2,0,391.98,Confirmed,False
B100117,6,Mediterraneum Malaga Port,Spain,Malaga,22565,Carlos Ferrari,carlos.ferrari22565@example.com,Corporate,Standard,Breakfast,2023-08-17,21/09/2023,2023-09-24,3,2,-1,466.18,Confirmed,False
B100118,36,Mediterraneum Mykonos Beach,Greece,Mykonos,12981,Andreas Papadopoulos,andreas.papadopoulos12981@example.com,booking.com,Standard,Room Only,1-10-24,31/10/2024,2024-11-02,2,2,0,243.89,Confirmed,False
B100119,13,Mediterraneum Lanzarote,Spain,Playa Blanca,24616,Sofia Romero,sofia.romero24616@example.com,Corporate,Superior,Breakfast,2024-03-05,11/04/2024,2024-04-14,3,2,0,514.3,Confirmed,False
B100120,6,Mediterraneum Malaga Port,Spain,Malaga,24054,Laura Sanchez,laura.sanchez24054@example.com,Corporate,Standard,All Inclusive,11-2-23,2023-02-23,25/02/2023,2,3,0,347.72,Confirmed,True
B100121,14,Mediterraneum Fuerteventura,Spain,Corralejo,23736,Laura Rossi,laura.rossi23736@example.com,Booking,Standard,All Inclusive,13/03/2023,29-3-23,31/03/2023,2,2,0,334.47,Confirmed,False
B100122,10,Mediterraneum Tossa,Spain,Tossa de Mar,24480,Isabella Papadopoulos,isabella.papadopoulos24480@example.com,corporate,Suite,All Inclusive,2025-06-15,2025-08-12,22/08/2025,10,2,1,6046.22,Confirmed,False
B100123,32,Mediterraneum Venezia Grand,Italy,Venezia,20572,Laura Romero,laura.romero20572@example.com,Booking,Standard,Breakfast,28/03/2024,29/03/2024,31-3-24,2,1,0,280.9,Confirmed,False
B100124,24,Mediterraneum Amalfi Duomo,Italy,Amalfi,18445,Maria Ferrari,maria.ferrari18445@example.com,DIRECT,Family,Breakfast,25/09/2024,10/10/2024,11-10-24,1,2,2,238.45,Confirmed,False
